Order_ID,Order_Date,Region,Sales_Rep,Product_Category,Product_Name,Customer_Segment,Quantity,Unit_Price,Discount_Rate,Revenue,Deal_Status,Channel
ORD-10370,12-06-2024,East,Marcus Webb,Services,Migration,start-up,50,1562.09,0.19,63264.65,LOST,Online
ORD-10560,03/06/2023,East,Nina Torres,Services,Migration,smb,5,1895.43,0.16,7960.81,,online
ORD-10588,"May 02, 2022",north,Derek Stone,Software,AutoSync,Enterprise,8,4604.49,0.07,34257.41,,Online
ORD-10926,07/29/2022,West,Sophia Lee,Software,CRM Pro,start-up,18,191.5,0.23,2654.19,,referral
ORD-10154,14-09-2022,Central,Ethan Ross,Software,DataVault,ENTERPRISE,47,4514.9,0.12,186736.26,In Progress,Partner
ORD-10775,12/07/2023,south,Aisha Patel,Consulting,Strategy Session,,1,529.51,0.27,386.54,pending,Referral
ORD-10923,05/12/2023,north,Sophia Lee,Consulting,Strategy Session,Enterprise,30,150000.0,0.07,114435.48,Lost,online
ORD-10348,19-08-2023,central,Marcus Webb,Hardware,Switch Pro,enterprise,36,2427.83,0.2,69921.5,LOST,online
ORD-10266,2023-12-11,East,James Carter,Consulting,Strategy Session,SMB,16,2128.09,0.34,22472.63,PENDING,Online
ORD-10360,2024-12-28,central,Sophia Lee,Hardware,NAS Drive,startup,14,2711.88,0.25,28474.74,won,Online
ORD-10467,02/10/2022,Central,Zoe Nguyen,Services,Migration,start-up,9,860.74,0.08,7126.93,pending,Online
ORD-10574,"January 28, 2024",East,James Carter,Services,Training,smb,36,483.61,0.25,13057.47,,Online
ORD-10558,2023-03-01,Central,Nina Torres,Software,CRM Pro,enterprise,24,2353.5,0.01,55919.16,Pending,partner
ORD-10943,13-04-2022,NORTH,Nina Torres,Services,Support Plan,enterprise,10,4979.78,,46311.95,lost,referral
ORD-10006,"December 01, 2022",EAST,Derek Stone,Subscriptions,Enterprise Plan,Startup,15,4117.92,0.28,44473.54,Won,Referral
ORD-10307,"November 03, 2024",NORTH,,Subscriptions,Basic Plan,SMB,4,1284.98,0.16,4317.53,Lost,Online
ORD-10598,"September 29, 2024",South,Marcus Webb,Software,CRM Pro,enterprise,44,182.41,0.06,7544.48,pending,Online
ORD-10373,"January 20, 2024",South,Mia Fernandez,Services,Migration,enterprise,24,2535.73,0.23,46860.29,Pending,
ORD-10903,2022-07-10,West,Nina Torres,Hardware,ServerX,start-up,27,414.2,0.34,7381.04,Won,referral
ORD-10040,04/05/2022,West,Mia Fernandez,Software,CloudDash,SMB,32,2028.28,0.05,61659.71,Pending,online
ORD-10405,17/02/2024,north,Nina Torres,Services,Training,ENTERPRISE,17,1223.84,0.16,17476.44,,DIRECT
ORD-10552,15/12/2022,west,Aisha Patel,Software,CloudDash,SMB,31,4193.1,0.1,116987.49,In Progress,Online
ORD-10300,2022-09-16,EAST,Sophia Lee,Consulting,Roadmap Workshop,ENTERPRISE,17,1632.76,0.25,20817.69,In Progress,Referral
ORD-10017,08/26/2024,West,Liam Brooks,Hardware,ServerX,startup,28,2084.96,0.3,40865.22,LOST,online
ORD-10167,02/18/2024,,Aisha Patel,Software,DataVault,Enterprise,21,2122.96,,38340.66,pending,DIRECT
ORD-10911,22-12-2024,EAST,James Carter,Software,AutoSync,startup,23,1264.32,0.08,26753.01,WON,Online
ORD-10816,2023-09-18,south,Liam Brooks,Services,Onboarding,enterprise,6,867.31,0.02,5099.78,Lost,direct
ORD-10522,"August 08, 2024",West,Derek Stone,Consulting,Audit Package,startup,17,768.49,0.3,9145.03,pending,Partner
ORD-10478,21/03/2023,central,Zoe Nguyen,Consulting,Audit Package,enterprise,39,82.54,,2221.15,In Progress,Online
ORD-10678,09/02/2024,West,Sophia Lee,Services,Migration,startup,38,2519.2,0.15,81370.16,lost,referral
ORD-10659,10/10/2024,central,Nina Torres,Consulting,Strategy Session,ENTERPRISE,47,1001.4,0.12,,lost,Partner
ORD-10743,20/02/2023,central,Zoe Nguyen,Services,Onboarding,ENTERPRISE,5,4131.68,0.21,16320.14,pending,Referral
ORD-10018,2022-04-21,North,Liam Brooks,Services,Support Plan,SMB,35,2270.64,0.15,67551.54,Lost,partner
ORD-10032,04/23/2024,,Marcus Webb,Software,CRM Pro,,13,4092.1,,44685.73,Lost,direct
ORD-10053,"February 08, 2024",South,Sophia Lee,Subscriptions,Basic Plan,smb,8,3991.32,0.2,25544.45,In Progress,Referral
ORD-10377,09/06/2022,south,Liam Brooks,Hardware,Edge Router,Startup,32,3973.65,0.31,87738.19,LOST,online
ORD-10204,14-12-2024,East,Derek Stone,Consulting,Audit Package,startup,37,1253.88,0.24,35259.11,,partner
ORD-10684,"November 23, 2023",West,Mia Fernandez,Hardware,Edge Router,start-up,10,4338.41,0.11,38611.85,pending,
ORD-10397,17-11-2024,west,Mia Fernandez,Services,Migration,startup,31,3861.34,0.27,87382.12,In Progress,Online
ORD-10272,22/03/2024,North,Derek Stone,Services,Onboarding,startup,36,3752.99,0.09,122947.95,pending,partner
ORD-10258,2022-12-26,North,Marcus Webb,Software,CloudDash,Startup,34,3925.79,0.25,100107.64,PENDING,partner
ORD-10896,03-07-2023,south,Liam Brooks,Hardware,Edge Router,Enterprise,2,809.21,0.13,1408.03,Won,direct
ORD-10078,09/29/2024,West,Ethan Ross,Consulting,Audit Package,startup,21,4354.53,0.34,60353.79,pending,Referral
ORD-10199,05-05-2024,NORTH,Aisha Patel,Services,Migration,SMB,36,3290.31,0.24,90022.88,pending,Partner
ORD-10636,30-07-2023,EAST,Derek Stone,Services,Training,Startup,11,1611.94,0.35,11525.37,Pending,direct
ORD-10042,"October 01, 2022",central,,Subscriptions,Pro Plan,,29,4491.18,0.26,96380.72,PENDING,Partner
ORD-10718,15/08/2024,East,Mia Fernandez,Subscriptions,Enterprise Plan,smb,22,853.29,0.16,15768.8,Pending,Referral
ORD-10957,"May 03, 2024",NORTH,James Carter,Services,Onboarding,startup,38,1548.67,0.23,45314.08,Won,Direct
ORD-10027,03-10-2022,north,Sophia Lee,Subscriptions,Pro Plan,smb,14,3602.18,0.07,46900.38,In Progress,Partner
ORD-10262,14/03/2022,central,Liam Brooks,Hardware,NAS Drive,startup,18,4138.69,0.2,59597.14,LOST,DIRECT
ORD-10308,01/09/2024,south,Nina Torres,Consulting,Roadmap Workshop,enterprise,16,1893.71,0.21,23936.49,Won,partner
ORD-10025,2022-05-29,West,Mia Fernandez,Subscriptions,Basic Plan,SMB,17,705.66,0.12,10556.67,PENDING,Online
ORD-10368,24-09-2024,East,Marcus Webb,Hardware,Switch Pro,enterprise,21,2455.01,0.11,45884.14,Lost,partner
ORD-10899,16/09/2022,north,Mia Fernandez,Consulting,Roadmap Workshop,ENTERPRISE,14,511.61,0.01,7090.91,LOST,Referral
ORD-10230,16-12-2024,Central,Liam Brooks,Subscriptions,Enterprise Plan,enterprise,23,4235.31,0.22,75981.46,LOST,direct
ORD-10796,21-04-2022,West,Marcus Webb,Subscriptions,Pro Plan,start-up,10,1088.34,0.28,7836.05,lost,Online
ORD-10465,02-03-2022,EAST,Liam Brooks,Services,Training,ENTERPRISE,7,701.15,0.01,4858.97,,direct
ORD-10208,2024-03-26,south,Marcus Webb,Subscriptions,Enterprise Plan,startup,22,1950.04,0.26,31746.65,PENDING,direct
ORD-10134,08-02-2022,South,Marcus Webb,Subscriptions,Basic Plan,smb,20,653.15,0.08,12017.96,Lost,Online
ORD-10105,17-07-2022,NORTH,Ethan Ross,Software,CRM Pro,,43,4708.59,0.15,172098.96,LOST,DIRECT
ORD-10007,01-04-2024,north,Aisha Patel,Subscriptions,Basic Plan,start-up,42,2321.32,0.09,88720.85,Pending,referral
ORD-10253,"May 06, 2023",,Sophia Lee,Hardware,ServerX,Enterprise,21,703.32,0.3,10338.8,LOST,partner
ORD-10295,16-12-2022,north,Zoe Nguyen,Software,CloudDash,start-up,43,1361.77,0.22,45673.77,pending,Referral
ORD-10225,15-12-2023,East,Zoe Nguyen,Hardware,Edge Router,Startup,7,2218.92,0.24,11804.65,pending,DIRECT
ORD-10959,08-03-2023,west,Liam Brooks,Subscriptions,Basic Plan,ENTERPRISE,42,3610.09,0.12,133428.93,LOST,
ORD-10752,12/26/2024,West,James Carter,Subscriptions,Pro Plan,smb,4,3011.12,0.02,11803.59,pending,Partner
ORD-10686,20/02/2022,central,Derek Stone,Subscriptions,Enterprise Plan,enterprise,40,2732.08,0.27,79776.74,Lost,partner
ORD-10708,06-11-2023,north,Sophia Lee,Software,CloudDash,Enterprise,41,4678.55,0.29,136192.59,In Progress,direct
ORD-10780,2022-03-27,South,Ethan Ross,Software,AutoSync,start-up,49,1718.3,0.15,71567.19,pending,referral
ORD-10561,23/10/2024,north,Zoe Nguyen,Subscriptions,Pro Plan,Startup,13,4464.92,0.16,48756.93,won,online
ORD-10544,19/03/2022,NORTH,Zoe Nguyen,Subscriptions,Enterprise Plan,smb,27,72.62,,1803.88,,Online
ORD-10846,02/02/2022,central,Mia Fernandez,Software,AutoSync,SMB,15,1655.1,0.07,23088.64,pending,DIRECT
ORD-10669,28/07/2024,central,Nina Torres,Software,DataVault,Enterprise,5,469.65,0.11,2089.94,PENDING,partner
ORD-10211,2024-02-18,Central,Derek Stone,Hardware,ServerX,enterprise,10,1931.0,0.27,14096.3,lost,Direct
ORD-10119,13-09-2023,Central,James Carter,Services,Onboarding,smb,29,236.16,0.13,5958.32,pending,partner
ORD-10384,"October 29, 2024",NORTH,Mia Fernandez,Software,CloudDash,Enterprise,33,3774.3,0.03,120815.34,PENDING,DIRECT
ORD-10080,"November 08, 2022",North,Marcus Webb,Subscriptions,Basic Plan,start-up,34,4556.69,0.01,153378.19,won,Online
ORD-10799,27-09-2024,Central,Marcus Webb,Consulting,Audit Package,startup,41,3283.32,0.13,117116.02,lost,Direct
ORD-10858,07/25/2023,north,Nina Torres,Hardware,Edge Router,Startup,32,2147.97,0.24,52238.63,LOST,online
ORD-10692,"October 30, 2024",north,Derek Stone,Software,CloudDash,startup,31,193.09,0.22,4668.92,won,Online
ORD-10808,"December 01, 2022",West,Sophia Lee,Services,Migration,ENTERPRISE,14,399.26,0.26,4136.33,PENDING,Online
ORD-10888,26-10-2023,North,,Consulting,Audit Package,Startup,44,2061.61,0.18,74382.89,won,Referral
ORD-10411,24-12-2022,East,Nina Torres,Subscriptions,Enterprise Plan,start-up,25,3087.64,0.16,64840.44,won,online
ORD-10600,30-10-2024,west,Nina Torres,Subscriptions,Basic Plan,startup,25,2278.07,0.3,39866.23,won,online
ORD-10562,"June 14, 2022",NORTH,Derek Stone,Software,DataVault,smb,45,782.37,0.05,33446.32,won,online
ORD-10831,31/07/2022,Central,Marcus Webb,Hardware,NAS Drive,SMB,9,2036.35,0.1,16494.43,won,Referral
ORD-10628,2023-04-14,West,Aisha Patel,Services,Support Plan,Enterprise,40,2173.07,0.09,79099.75,Pending,DIRECT
ORD-10595,2024-10-03,EAST,Zoe Nguyen,Subscriptions,Basic Plan,ENTERPRISE,26,3490.43,0.34,59895.78,Pending,partner
ORD-10420,23/08/2023,South,James Carter,Subscriptions,Basic Plan,startup,28,2004.02,,52745.81,PENDING,Partner
ORD-10886,06/16/2023,North,Sophia Lee,Consulting,Audit Package,ENTERPRISE,23,4712.61,0.17,89963.72,Lost,Online
ORD-10935,08/19/2023,west,,Hardware,ServerX,enterprise,48,1711.6,0.17,68190.14,lost,online
ORD-10474,04-07-2022,East,Marcus Webb,Software,CRM Pro,start-up,6,2642.9,0.13,13795.94,LOST,Direct
ORD-10433,2022-11-25,west,Marcus Webb,Consulting,Audit Package,Startup,1,3890.79,0.18,3190.45,pending,online
ORD-10015,2023-11-24,Central,Ethan Ross,Hardware,NAS Drive,Enterprise,46,3173.96,0.08,134321.99,won,partner
ORD-10817,09/08/2023,West,James Carter,Consulting,Audit Package,,44,4989.87,0.31,151492.45,,DIRECT
